Name,RGB,Hex,HSL
periwinkle,"rgb(204, 204, 255)","#ccccff","hsl(240, 100%, 90%)"
powderblue,"rgb(176, 224, 230)","#b0e0e6","hsl(187, 52%, 80%)"
lightblue,"rgb(173, 216, 230)","#add8e6","hsl(195, 53%, 79%)"
lightsteelblue,"rgb(176, 196, 222)","#b0c4de","hsl(214, 41%, 78%)"
skyblue,"rgb(135, 206, 235)","#87ceeb","hsl(197, 71%, 73%)"
cornflowerblue,"rgb(100, 149, 237)","#6495ed","hsl(219, 79%, 66%)"
mediumslateblue,"rgb(123, 104, 238)","#7b68ee","hsl(248, 80%, 67%)"
slateblue,"rgb(106, 90, 205)","#6a5acd","hsl(248, 53%, 58%)"
royalblue,"rgb(65, 105, 225)","#4169e1","hsl(225, 73%, 57%)"
turquoise,"rgb(64, 224, 208)","#40e0d0","hsl(174, 72%, 56%)"
dodgerblue,"rgb(30, 144, 255)","#1e90ff","hsl(210, 100%, 56%)"
steelblue,"rgb(70, 130, 180)","#4682b4","hsl(207, 44%, 49%)"
cadetblue,"rgb(95, 158, 160)","#5f9ea0","hsl(182, 25%, 50%)"
deepskyblue,"rgb(0, 191, 255)","#00bfff","hsl(195, 100%, 50%)"
aqua,"rgb(0, 255, 255)","#00ffff","hsl(180, 100%, 50%)"
blue,"rgb(0, 0, 255)","#0000ff","hsl(240, 100%, 50%)"
mediumblue,"rgb(0, 0, 205)","#0000cd","hsl(240, 100%, 40%)"
midnightblue,"rgb(25, 25, 112)","#191970","hsl(240, 64%, 27%)"
