Name,RGB,Hex,HSL
mintcream,"rgb(245, 255, 250)","#f5fffafa","hsl(150, 100%, 98%)"
palegreen,"rgb(152, 251, 152)","#98fb98","hsl(120, 93%, 79%)"
aquamarine,"rgb(127, 255, 212)","#7fffd4","hsl(160, 100%, 75%)"
mediumaquamarine,"rgb(102, 205, 170)","#66cdaa","hsl(160, 51%, 60%)"
darkseagreen,"rgb(143, 188, 143)","#8fbc8f","hsl(120, 25%, 65%)"
chartreuse,"rgb(127, 255, 0)","#7fff00","hsl(90, 100%, 50%)"
springgreen,"rgb(0, 255, 127)","#00ff7f","hsl(150, 100%, 50%)"
yellowgreen,"rgb(154, 205, 50)","#9acd32","hsl(80, 61%, 50%)"
limegreen,"rgb(50, 205, 50)","#32cd32","hsl(120, 61%, 50%)"
mediumspringgreen,"rgb(0, 250, 154)","#00fa9a","hsl(157, 100%, 49%)"
lawngreen,"rgb(124, 252, 0)","#7cfc00","hsl(90, 100%, 49%)"
mediumseagreen,"rgb(60, 179, 113)","#3cb371","hsl(147, 50%, 47%)"
seagreen,"rgb(46, 139, 87)","#2e8b57","hsl(146, 50%, 36%)"
forestgreen,"rgb(34, 139, 34)","#228b22","hsl(120, 61%, 34%)"
darkolivegreen,"rgb(85, 107, 47)","#556b2f","hsl(82, 39%, 30%)"
green,"rgb(0, 128, 0)","#008000","hsl(120, 100%, 25%)"
olive,"rgb(128, 128, 0)","#808000","hsl(60, 100%, 25%)"
darkgreen,"rgb(0, 100, 0)","#006400","hsl(120, 100%, 20%)"
