Name,RGB,Hex,HSL
pink,"rgb(255, 192, 203)","#ffc0cb","hsl(350, 100%, 88%)"
bubblegum,"rgb(255, 193, 204)","#ffc1cc","hsl(345, 100%, 87%)"
cottoncandy,"rgb(255, 188, 217)","#ffbcd9","hsl(331, 100%, 87%)"
lightpink,"rgb(255, 182, 193)","#ffb6c1","hsl(351, 100%, 86%)"
cherryblossompink,"rgb(255, 183, 197)","#ffb7c5","hsl(344, 100%, 86%)"
cameopink,"rgb(239, 187, 204)","#efbbcc","hsl(340, 58%, 84%)"
carnation,"rgb(255, 166, 201)","#ffa6c9","hsl(338, 100%, 83%)"
flamingopink,"rgb(252, 142, 172)","#fc8eac","hsl(342, 94%, 77%)"
ticklemepink,"rgb(252, 137, 172)","#fc89ac","hsl(342, 94%, 76%)"
pastelpink,"rgb(222, 165, 164)","#dea5a4","hsl(1, 49%, 76%)"
hotpink,"rgb(255, 105, 180)","#ff69b4","hsl(330, 100%, 71%)"
palevioletred,"rgb(219, 112, 147)","#db7093","hsl(340, 60%, 65%)"
ultrapink,"rgb(255, 111, 255)","#ff6fff","hsl(300, 100%, 72%)"
deeppink,"rgb(255, 20, 147)","#ff1493","hsl(328, 100%, 54%)"
shockingpink,"rgb(252, 15, 192)","#fc0fc0","hsl(316, 97%, 52%)"
fuchsia,"rgb(255, 0, 255)","#ff00ff","hsl(300, 100%, 50%)"
raspberrypink,"rgb(227, 11, 93)","#e30b5d","hsl(338, 91%, 47%)"
mediumvioletred,"rgb(199, 21, 133)","#c71585","hsl(322, 81%, 43%)"
