Name,RGB,Hex,HSL
mediumslateblue,"rgb(123, 104, 238)","#7b68ee","hsl(248, 80%, 67%)"
mediumpurple,"rgb(147, 112, 219)","#9370db","hsl(259, 60%, 65%)"
amethyst,"rgb(153, 102, 204)","#9966cc","hsl(270, 50%, 60%)"
lavenderindigo,"rgb(148, 87, 235)","#9457eb","hsl(263, 80%, 63%)"
mediumorchid,"rgb(186, 85, 211)","#ba55d3","hsl(288, 59%, 58%)"
slateblue,"rgb(106, 90, 205)","#6a5acd","hsl(248, 53%, 58%)"
blueviolet,"rgb(138, 43, 226)","#8a2be2","hsl(271, 76%, 53%)"
darkorchid,"rgb(153, 50, 204)","#9932cc","hsl(280, 61%, 50%)"
darklavender,"rgb(115, 79, 150)","#734f96","hsl(270, 30%, 45%)"
grape,"rgb(111, 45, 168)","#6f2da8","hsl(270, 58%, 42%)"
purpleheart,"rgb(105, 53, 156)","#69359c","hsl(270, 49%, 41%)"
darkviolet,"rgb(148, 0, 211)","#9400d3","hsl(282, 100%, 41%)"
rebeccapurple,"rgb(102, 51, 153)","#663399","hsl(270, 50%, 40%)"
darkslateblue,"rgb(72, 61, 139)","#483d8b","hsl(248, 39%, 39%)"
eminence,"rgb(108, 48, 130)","#6c3082","hsl(280, 46%, 35%)"
deepamethyst,"rgb(102, 0, 153)","#660099","hsl(280, 100%, 30%)"
purple,"rgb(128, 0, 128)","#800080","hsl(300, 100%, 25%)"
indigo,"rgb(75, 0, 130)","#4b0082","hsl(275, 100%, 25%)"
