Name,RGB,Hex,HSL
tomato,"rgb(255, 99, 71)","#ff6347","hsl(9, 100%, 64%)"
indianred,"rgb(205, 92, 92)","#cd5c5c","hsl(0, 53%, 58%)"
applered,"rgb(255, 59, 48)","#ff3b30","hsl(2, 100%, 59%)"
brickred,"rgb(203, 65, 84)","#cb4154","hsl(350, 58%, 53%)"
cinnabar,"rgb(227, 66, 52)","#e34234","hsl(6, 73%, 55%)"
scarlet,"rgb(255, 36, 0)","#ff2400","hsl(8, 100%, 50%)"
red,"rgb(255, 0, 0)","#ff0000","hsl(0, 100%, 50%)"
crimson,"rgb(220, 20, 60)","#dc143c","hsl(348, 83%, 47%)"
ruby,"rgb(224, 17, 95)","#e0115f","hsl(332, 85%, 47%)"
firebrick,"rgb(178, 34, 34)","#b22222","hsl(0, 68%, 42%)"
crimsonred,"rgb(179, 27, 27)","#b31b1b","hsl(0, 73%, 41%)"
venetianred,"rgb(200, 8, 21)","#c80815","hsl(353, 93%, 41%)"
rust,"rgb(183, 65, 14)","#b7410e","hsl(20, 86%, 39%)"
rubyred,"rgb(155, 17, 30)","#9b111e","hsl(352, 82%, 33%)"
carmine,"rgb(150, 0, 24)","#960018","hsl(350, 100%, 29%)"
darkred,"rgb(139, 0, 0)","#8b0000","hsl(0, 100%, 27%)"
maroon,"rgb(128, 0, 0)","#800000","hsl(0, 100%, 25%)"
barnred,"rgb(124, 10, 2)","#7c0a02","hsl(6, 97%, 25%)"
