Name,RGB,Hex,HSL
lavenderblush,"rgb(255, 240, 245)","#fff0f5","hsl(340, 100%, 97%)"
lavender,"rgb(230, 230, 250)","#e6e6fa","hsl(240, 67%, 94%)"
lavenderblue,"rgb(204, 204, 255)","#ccccff","hsl(240, 100%, 90%)"
mauve,"rgb(224, 176, 255)","#e0b0ff","hsl(270, 100%, 84%)"
thistle,"rgb(216, 191, 216)","#d8bfd8","hsl(300, 24%, 80%)"
plum,"rgb(221, 160, 221)","#dda0dd","hsl(300, 47%, 75%)"
heliotrope,"rgb(223, 115, 255)","#df73ff","hsl(288, 100%, 72%)"
violet,"rgb(238, 130, 238)","#ee82ee","hsl(300, 76%, 72%)"
wisteria,"rgb(201, 160, 220)","#c9a0dc","hsl(273, 42%, 74%)"
orchid,"rgb(218, 112, 214)","#da70d6","hsl(302, 59%, 65%)"
paleviolet,"rgb(219, 112, 219)","#db70db","hsl(300, 53%, 65%)"
mediumorchid,"rgb(186, 85, 211)","#ba55d3","hsl(288, 59%, 58%)"
lavenderpurple,"rgb(150, 123, 182)","#967bb6","hsl(264, 33%, 60%)"
violetred,"rgb(208, 32, 144)","#d02090","hsl(322, 68%, 47%)"
grape,"rgb(111, 45, 168)","#6f2da8","hsl(270, 58%, 42%)"
mediumviolet,"rgb(148, 0, 211)","#9400d3","hsl(282, 100%, 41%)"
englishviolet,"rgb(86, 60, 92)","#563c5c","hsl(288, 24%, 30%)"
deepmagenta, "rgb(109, 14, 109)","#6d0e6d","hsl(300, 76%, 27%)"
