Name,RGB,Hex,HSL
floralwhite,"rgb(255, 250, 240)","#fffaf0","hsl(40, 100%, 97%)"
ivory,"rgb(255, 255, 240)","#fffff0","hsl(60, 100%, 97%)"
lightyellow,"rgb(255, 255, 224)","#ffffe0","hsl(60, 100%, 94%)"
cornsilk,"rgb(255, 248, 220)","#fff8dc","hsl(48, 100%, 93%)"
oldlace,"rgb(253, 245, 230)","#fdf5e6","hsl(39, 85%, 94%)"
lemonchiffon,"rgb(255, 250, 205)","#fffacd","hsl(54, 100%, 90%)"
lightgoldenrodyellow,"rgb(250, 250, 210)","#fafad2","hsl(60, 80%, 90%)"
papayawhip,"rgb(255, 239, 213)","#ffefd5","hsl(37, 100%, 90%)"
peachpuff,"rgb(255, 218, 185)","#ffdab9","hsl(28, 100%, 86%)"
moccasin,"rgb(255, 228, 181)","#ffe4b5","hsl(38, 100%, 80%)"
khaki,"rgb(240, 230, 140)","#f0e68c","hsl(54, 77%, 75%)"
palegoldenrod,"rgb(238, 232, 170)","#eee8aa","hsl(55, 67%, 75%)"
lightgoldenrod,"rgb(238, 221, 130)","#eedc82","hsl(48, 76%, 72%)"
banana,"rgb(227, 207, 87)","#e3cf57","hsl(52, 61%, 61%)"
cornfloweryellow,"rgb(255, 221, 51)","#ffdd33","hsl(47, 100%, 60%)"
yellow,"rgb(255, 255, 0)","#ffff00","hsl(60, 100%, 50%)"
gold,"rgb(255, 215, 0)","#ffd700","hsl(51, 100%, 50%)"
darkkhaki,"rgb(189, 183, 107)","#bdb76b","hsl(56, 38%, 50%)"
